timestamp,open,low,high,close,volume
2021-11-01 09:00:00,580,580,580,580,0
2021-11-01 09:01:00,580,580,580,580,0
2021-11-01 09:02:00,580,580,580,580,0
2021-11-01 09:03:00,580,580,580,580,0
2021-11-01 09:04:00,580,580,580,580,0
2021-11-01 09:05:00,580,580,580,580,0
2021-11-01 09:06:00,580,580,580,580,0
2021-11-01 09:07:00,580,580,580,580,0
2021-11-01 09:08:00,580,580,580,580,0
2021-11-01 09:09:00,580,580,580,580,0
2021-11-01 09:10:00,580,580,580,580,0
2021-11-01 09:11:00,580,580,580,580,0
2021-11-01 09:12:00,580,580,580,580,0
2021-11-01 09:13:00,580,580,580,580,0
2021-11-01 09:14:00,580,580,580,580,0
2021-11-01 09:15:00,580,580,580,580,300
2021-11-01 09:16:00,580,580,580,580,0
2021-11-01 09:17:00,580,580,580,580,100
2021-11-01 09:18:00,580,580,580,580,0
2021-11-01 09:19:00,580,580,580,580,100
2021-11-01 09:20:00,580,580,580,580,0
2021-11-01 09:21:00,580,580,580,580,0
2021-11-01 09:22:00,580,580,580,580,0
2021-11-01 09:23:00,580,580,580,580,0
2021-11-01 09:24:00,580,580,580,580,0
2021-11-01 09:25:00,580,580,580,580,0
2021-11-01 09:26:00,580,580,580,580,0
2021-11-01 09:27:00,580,580,580,580,0
2021-11-01 09:28:00,580,580,580,580,0
2021-11-01 09:29:00,580,580,580,580,0
2021-11-01 09:30:00,580,580,580,580,0
2021-11-01 09:31:00,580,580,580,580,0
2021-11-01 09:32:00,580,580,580,580,0
2021-11-01 09:33:00,580,580,580,580,0
2021-11-01 09:34:00,580,580,580,580,0
2021-11-01 09:35:00,580,580,580,580,8500
2021-11-01 09:36:00,580,580,580,580,1000
2021-11-01 09:37:00,580,580,580,580,0
2021-11-01 09:38:00,580,580,580,580,0
2021-11-01 09:39:00,580,580,580,580,0
2021-11-01 09:40:00,580,580,580,580,0
2021-11-01 09:41:00,580,580,580,580,0
2021-11-01 09:42:00,580,580,580,580,0
2021-11-01 09:43:00,580,580,580,580,0
2021-11-01 09:44:00,580,580,580,580,0
2021-11-01 09:45:00,580,580,580,580,0
2021-11-01 09:46:00,580,580,580,580,0
2021-11-01 09:47:00,580,580,580,580,0
2021-11-01 09:48:00,580,580,580,580,0
2021-11-01 09:49:00,580,580,580,580,0
2021-11-01 09:50:00,580,580,580,580,0
2021-11-01 09:51:00,580,580,580,580,0
2021-11-01 09:52:00,570,565,570,565,400
2021-11-01 09:53:00,560,560,560,560,5100
2021-11-01 09:54:00,555,555,555,555,4400
2021-11-01 09:55:00,555,555,555,555,0
2021-11-01 09:56:00,555,555,555,555,0
2021-11-01 09:57:00,555,555,555,555,0
2021-11-01 09:58:00,555,555,555,555,0
2021-11-01 09:59:00,580,580,580,580,100
2021-11-01 10:00:00,580,580,580,580,0
2021-11-01 10:01:00,580,580,580,580,0
2021-11-01 10:02:00,580,580,580,580,0
2021-11-01 10:03:00,580,580,580,580,0
2021-11-01 10:04:00,580,580,580,580,0
2021-11-01 10:05:00,580,580,580,580,0
2021-11-01 10:06:00,580,580,580,580,0
2021-11-01 10:07:00,580,580,580,580,0
2021-11-01 10:08:00,580,580,580,580,0
2021-11-01 10:09:00,580,580,580,580,0
2021-11-01 10:10:00,580,580,580,580,0
2021-11-01 10:11:00,580,580,580,580,0
2021-11-01 10:12:00,580,580,580,580,0
2021-11-01 10:13:00,580,580,580,580,0
2021-11-01 10:14:00,580,580,580,580,0
2021-11-01 10:15:00,580,580,580,580,0
2021-11-01 10:16:00,580,580,580,580,0
2021-11-01 10:17:00,580,580,580,580,0
