timestamp,open,low,high,close,volume
2021-11-01 09:00:00,970,970,975,970,0
2021-11-01 09:01:00,970,970,970,970,200
2021-11-01 09:02:00,970,970,970,970,0
2021-11-01 09:03:00,970,970,970,970,0
2021-11-01 09:04:00,970,970,970,970,10100
2021-11-01 09:05:00,970,970,970,970,0
2021-11-01 09:06:00,970,970,970,970,0
2021-11-01 09:07:00,970,970,970,970,0
2021-11-01 09:08:00,970,970,970,970,0
2021-11-01 09:09:00,975,975,975,975,1000
2021-11-01 09:10:00,975,975,975,975,0
2021-11-01 09:11:00,975,975,975,975,0
2021-11-01 09:12:00,975,975,975,975,0
2021-11-01 09:13:00,975,975,975,975,100
2021-11-01 09:14:00,975,975,975,975,0
2021-11-01 09:15:00,975,975,975,975,1000
2021-11-01 09:16:00,970,970,975,975,3700
2021-11-01 09:17:00,970,970,975,975,0
2021-11-01 09:18:00,970,970,975,975,0
2021-11-01 09:19:00,970,970,975,975,0
2021-11-01 09:20:00,970,970,975,975,0
2021-11-01 09:21:00,970,970,975,975,0
2021-11-01 09:22:00,970,970,975,975,0
2021-11-01 09:23:00,975,975,975,975,1000
2021-11-01 09:24:00,975,975,975,975,0
2021-11-01 09:25:00,975,975,975,975,0
2021-11-01 09:26:00,975,975,975,975,0
2021-11-01 09:27:00,975,975,975,975,1600
2021-11-01 09:28:00,975,975,975,975,0
2021-11-01 09:29:00,975,975,975,975,0
2021-11-01 09:30:00,975,975,975,975,0
2021-11-01 09:31:00,975,975,975,975,0
2021-11-01 09:32:00,975,975,975,975,0
2021-11-01 09:33:00,975,975,975,975,0
2021-11-01 09:34:00,975,975,975,975,200
2021-11-01 09:35:00,975,975,975,975,0
2021-11-01 09:36:00,975,975,975,975,0
2021-11-01 09:37:00,975,975,975,975,0
2021-11-01 09:38:00,975,975,975,975,5200
2021-11-01 09:39:00,975,975,975,975,0
2021-11-01 09:40:00,975,975,975,975,0
2021-11-01 09:41:00,975,975,975,975,0
2021-11-01 09:42:00,975,975,975,975,0
2021-11-01 09:43:00,975,975,975,975,100
2021-11-01 09:44:00,975,975,975,975,5000
2021-11-01 09:45:00,975,975,975,975,0
2021-11-01 09:46:00,975,975,975,975,0
2021-11-01 09:47:00,975,975,975,975,0
2021-11-01 09:48:00,975,970,975,970,2100
2021-11-01 09:49:00,975,970,975,970,0
2021-11-01 09:50:00,975,970,975,970,0
2021-11-01 09:51:00,975,970,975,970,0
2021-11-01 09:52:00,975,975,975,975,1000
2021-11-01 09:53:00,975,975,975,975,0
2021-11-01 09:54:00,975,975,975,975,0
2021-11-01 09:55:00,975,975,975,975,0
2021-11-01 09:56:00,975,975,975,975,0
2021-11-01 09:57:00,975,975,975,975,0
2021-11-01 09:58:00,975,975,975,975,300
2021-11-01 09:59:00,975,975,975,975,0
2021-11-01 10:00:00,975,975,975,975,700
2021-11-01 10:01:00,975,975,975,975,0
2021-11-01 10:02:00,975,975,975,975,300
2021-11-01 10:03:00,975,975,975,975,200
2021-11-01 10:04:00,975,975,975,975,0
2021-11-01 10:05:00,975,975,975,975,0
2021-11-01 10:06:00,975,975,975,975,600
2021-11-01 10:07:00,975,975,975,975,0
2021-11-01 10:08:00,975,975,975,975,0
2021-11-01 10:09:00,975,975,975,975,0
2021-11-01 10:10:00,975,975,975,975,0
2021-11-01 10:11:00,975,975,975,975,0
2021-11-01 10:12:00,975,975,975,975,0
2021-11-01 10:13:00,975,975,975,975,0
2021-11-01 10:14:00,975,975,975,975,0
2021-11-01 10:15:00,975,975,975,975,0
2021-11-01 10:16:00,975,975,975,975,0
2021-11-01 10:17:00,975,975,975,975,0
2021-11-01 10:18:00,975,975,975,975,0
2021-11-01 10:19:00,975,975,975,975,0
2021-11-01 10:20:00,975,975,975,975,0
2021-11-01 10:21:00,975,975,975,975,0
2021-11-01 10:22:00,975,975,975,975,0
2021-11-01 10:23:00,975,975,975,975,0
2021-11-01 10:24:00,975,975,975,975,0
2021-11-01 10:25:00,975,975,975,975,0
2021-11-01 10:26:00,975,975,975,975,0
2021-11-01 10:27:00,975,975,975,975,0
2021-11-01 10:28:00,975,975,975,975,0
2021-11-01 10:29:00,975,975,975,975,0
2021-11-01 10:30:00,975,975,975,975,0
2021-11-01 10:31:00,975,975,975,975,0
2021-11-01 10:32:00,975,975,975,975,0
2021-11-01 10:33:00,975,975,975,975,0
2021-11-01 10:34:00,975,975,975,975,0
2021-11-01 10:35:00,975,975,975,975,0
2021-11-01 10:36:00,975,975,975,975,0
2021-11-01 10:37:00,975,975,975,975,0
2021-11-01 10:38:00,975,975,975,975,0
2021-11-01 10:39:00,975,975,975,975,0
2021-11-01 10:40:00,975,975,975,975,0
2021-11-01 10:41:00,975,975,975,975,0
2021-11-01 10:42:00,975,975,975,975,0
2021-11-01 10:43:00,975,975,975,975,0
2021-11-01 10:44:00,975,975,975,975,0
2021-11-01 10:45:00,975,975,975,975,0
2021-11-01 10:46:00,975,970,975,970,239100
2021-11-01 10:47:00,970,970,970,970,46000
2021-11-01 10:48:00,970,970,970,970,0
2021-11-01 10:49:00,970,970,970,970,0
2021-11-01 10:50:00,970,970,970,970,0
2021-11-01 10:51:00,970,970,970,970,0
2021-11-01 10:52:00,970,970,970,970,0
2021-11-01 10:53:00,970,970,970,970,1600
2021-11-01 10:54:00,970,970,970,970,0
2021-11-01 10:55:00,970,970,970,970,0
2021-11-01 10:56:00,970,970,970,970,0
2021-11-01 10:57:00,970,970,970,970,0
2021-11-01 10:58:00,970,970,970,970,0
2021-11-01 10:59:00,970,970,970,970,457900
2021-11-01 11:00:00,970,970,970,970,500
2021-11-01 11:01:00,970,970,970,970,0
2021-11-01 11:02:00,970,970,970,970,85700
2021-11-01 11:03:00,970,970,975,975,319200
2021-11-01 11:04:00,970,970,975,975,0
2021-11-01 11:05:00,975,975,980,975,340500
2021-11-01 11:06:00,975,975,980,975,352700
2021-11-01 11:07:00,975,975,980,980,520500
2021-11-01 11:08:00,975,975,980,980,0
2021-11-01 11:09:00,980,980,980,980,900
2021-11-01 11:10:00,980,980,980,980,238400
2021-11-01 11:11:00,985,985,985,985,166700
2021-11-01 11:12:00,985,985,985,985,800
2021-11-01 11:13:00,985,985,985,985,32500
2021-11-01 11:14:00,985,985,985,985,13900
2021-11-01 11:15:00,985,985,985,985,0
2021-11-01 11:16:00,985,980,985,980,100
2021-11-01 11:17:00,980,980,980,980,1000
2021-11-01 11:18:00,980,980,980,980,0
2021-11-01 11:19:00,980,980,980,980,0
2021-11-01 11:20:00,980,980,980,980,0
2021-11-01 11:21:00,980,980,980,980,0
2021-11-01 11:22:00,980,980,980,980,0
2021-11-01 11:23:00,980,980,980,980,0
2021-11-01 11:24:00,980,980,980,980,39400
2021-11-01 11:25:00,980,980,980,980,0
2021-11-01 11:26:00,980,980,980,980,0
2021-11-01 11:27:00,985,985,985,985,100
2021-11-01 11:28:00,985,985,985,985,182600
2021-11-01 11:29:00,985,985,985,985,106200
2021-11-01 11:30:00,985,985,985,985,0
2021-11-01 11:31:00,985,985,985,985,0
2021-11-01 11:32:00,985,985,985,985,0
2021-11-01 11:33:00,985,985,985,985,0
2021-11-01 11:34:00,985,985,985,985,0
2021-11-01 11:35:00,985,985,985,985,0
2021-11-01 11:36:00,985,985,985,985,0
2021-11-01 11:37:00,985,985,985,985,0
2021-11-01 11:38:00,985,985,985,985,0
2021-11-01 11:39:00,985,985,985,985,0
2021-11-01 11:40:00,985,985,985,985,0
2021-11-01 11:41:00,985,985,985,985,0
2021-11-01 11:42:00,985,985,985,985,0
2021-11-01 11:43:00,985,985,985,985,0
2021-11-01 11:44:00,985,985,985,985,0
2021-11-01 11:45:00,985,985,985,985,0
2021-11-01 11:46:00,985,985,985,985,0
2021-11-01 11:47:00,985,985,985,985,0
2021-11-01 11:48:00,985,985,985,985,0
2021-11-01 11:49:00,985,985,985,985,0
2021-11-01 11:50:00,985,985,985,985,0
2021-11-01 11:51:00,985,985,985,985,0
2021-11-01 11:52:00,985,985,985,985,0
2021-11-01 11:53:00,985,985,985,985,0
2021-11-01 11:54:00,985,985,985,985,0
2021-11-01 11:55:00,985,985,985,985,0
2021-11-01 11:56:00,985,985,985,985,0
2021-11-01 11:57:00,985,985,985,985,0
2021-11-01 11:58:00,985,985,985,985,0
2021-11-01 11:59:00,985,985,985,985,0
2021-11-01 12:00:00,985,985,985,985,0
2021-11-01 12:01:00,985,985,985,985,0
2021-11-01 12:02:00,985,985,985,985,0
2021-11-01 12:03:00,985,985,985,985,0
2021-11-01 12:04:00,985,985,985,985,0
2021-11-01 12:05:00,985,985,985,985,0
2021-11-01 12:06:00,985,985,985,985,0
2021-11-01 12:07:00,985,985,985,985,0
2021-11-01 12:08:00,985,985,985,985,0
2021-11-01 12:09:00,985,985,985,985,0
2021-11-01 12:10:00,985,985,985,985,0
2021-11-01 12:11:00,985,985,985,985,0
2021-11-01 12:12:00,985,985,985,985,0
2021-11-01 12:13:00,985,985,985,985,0
2021-11-01 12:14:00,985,985,985,985,0
2021-11-01 12:15:00,985,985,985,985,0
2021-11-01 12:16:00,985,985,985,985,0
2021-11-01 12:17:00,985,985,985,985,0
2021-11-01 12:18:00,985,985,985,985,0
2021-11-01 12:19:00,985,985,985,985,0
2021-11-01 12:20:00,985,985,985,985,0
2021-11-01 12:21:00,985,985,985,985,0
2021-11-01 12:22:00,985,985,985,985,0
